Rank,gpt-4o,gpt-4o-mini,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,o3,o4-mini,claude-3-5-sonnet,claude-3-7-sonnet-20250219,claude-4-sonnet-20250514,Gemini-1.5-pro,Gemini-2.5-pro,gemma-2-2b-it,gemma-2-9b-it,gemma-2-27b-it,gemma-3-1b-it,llama-3.1-405b-instruct,llama-3.1-70b-instruct,llama-3.1-8b-instruct,llama-3.3-70b-instruct,llama4_maverick,llama4_scout,llama3.1-8b-f2,llama3.3-70b-sft1,llama3.1-8b-lora1,llama4-109b-lora1,llama3.3-70b-lora1,deepseek-r1,deepseek-r1-8b,deepseek-r1-32b,mistral-nemo-12b-instruct,mixtral-8x22b-instruct-v0.1,mixtral-8x7b-instruct-v0.1,mistral-large-latest,codestral-22b-instruct-v0.1,mamba-codestral-7b-v0.1,nemotron-4-340b-instruct,phi-3-mini-128k-instruct,phi-3-medium-128k-instruct,qwen3-235b-a22b
1,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2,gpt-4o-mini-f2
2,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1,gpt-4o-mini-f1
3,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514,claude-4-sonnet-20250514
4,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3,gpt-4o-mini-f3
5,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1,llama3.3-70b-sft1
6,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1,llama3.3-70b-lora1
7,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219
8,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b,qwen3-235b-a22b
9,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini,pe_gpt-4o-mini
